client,date,value
Cision,Nov-25,"Account : Cision
Project name: Cision PRN - Engineering Enablement
Month and year: Nov 2025
Key contributors: Rakesh Achar
Category / GenAI: GenAI
Category Description: PixelSense AI
Problem statement: Organizations manage large volumes of image and video assets, yet existing search capabilities rely on manual tagging and exact keyword matches. This results in low search accuracy, poor discoverability, and productivity loss. An AI-powered, semantic search solution is required to improve asset utilization and user efficiency.
Value solution (Mention LLMs, Tools used): PixelSense AI redefines multimedia search by letting users find images and videos using natural language, powered by the semantic intelligence of Google Vertex AI (Gemini).?
?
Reactive
/Proactive: Proactive
Impact: Order Processing duration reduced by 25% due to rapid selection of images by customers 

Added to Q1 2026 Backlog
Accion team Contribution: Idea, Implementation and presented by Accion Team.
Link to demo video of solution (if any): PixcelSenseAI.mp4"
Cision,Nov-25,"Account : Cision
Project name: Cision PRN - OMC 2.0
Month and year: Nov 2025
Key contributors: Ravi Numboori, Debashis Mondal, Somesh Patel, Vinayak Bagalkoti
Category / GenAI: GenAI
Category Description: Ampligent
Problem statement: Customer support and sales teams spend significant time responding to repetitive queries related to product details, pricing, and order status. Existing channels lack instant, self-service capabilities, leading to increased operational effort and slower response times. An AI-assisted chat solution is required to improve response efficiency, enhance user experience, and reduce dependency on manual support.
Value solution (Mention LLMs, Tools used): Ampligent is an AI-assisted chat feature for the Amplify application that can answer queries about Amplify
products, pricing, and customer order information. It is built using Google Conversational Agents.?
Reactive
/Proactive: Proactive
Impact: Personalized product recommendation leading to upsell revenue increase

Added to Q1 2026 Backlog
Accion team Contribution: Idea and presented by Cision. Implemented by Accion.
Client Appreciation (if any): Idea was nominated as 'Crowd Favourite - Winner'
Link to demo video of solution (if any): Ampligent.mp4"
Cision,Nov-25,"Account : Cision
Project name: Cision
Month and year: Dec 2024
Key contributors: Ravi Numboori

Category / GenAI: Gen AI
Category Description: Raw content converted to a Structured PR Article for Preview & Approval
Problem statement: Customers send required article content and often had to wait for the backend editorial team to manually process their press releases before they could see a preview for further corrections. Any missing critical sections (e.g., headline, dateline, contact information) were only identified during editorial review leading to further delay in publication.
Value solution (Mention LLMs, Tools used): Real-Time Press Release Preview and Validation
Extract Word document content to Markdown Format - (custom Development)
Use Google Gemini to parse Markdown content and identify key sections (Headline, sub headline, body, dateline, contact info).
Generate JSON output from AI and convert to HTML preview for real-time validation.
Expose an API with above functionality to consume in the UI.
Reactive
/Proactive: Proactive
Impact: Increase engagement and ready reccommendation reduces need for more content readiness from customers
Accion team Contribution: Research on Vertex AI"
Cision,Nov-25,"Account : Cision
Project name: Cision
Month and year: Dec 2024
Key contributors: Thiraviaraj
Category / GenAI: Gen AI
Category Description: Product Selection Recommendations (Geo, Subject, Industry)
Problem statement: Scenario:
Customers struggled to understand and select the right products for their press releases, such as US1 for nationwide coverage or Social for social media distribution. There was limited guidance to help them make informed choices to maximize reach and visibility.
Value solution (Mention LLMs, Tools used): Product Recommendations using AI
Train a machine learning model using historical press release data to analyze viewership and product performance and deployed in Vertex AI.
Expose the model through an API developed by the MLDC team.
Integrate the API into the application to display AI-driven product recommendations
Reactive
/Proactive: Proactive
Impact: Reduced drop off and increased user satisfaction
Accion team Contribution: Implementation of the UI only"
LSAC,Nov-25,"Account : LSAC
Project name: LSAC
Month and year: Nov-24
Key contributors: Abhinav, Shishir
Category / GenAI: AI/ML
Category Description: Enrolment predictions
Problem statement: LSAC aims to predict the likelihood of a student enrolling in a specific college once admitted. Additionally, it seeks to optimize the scholarship amount to enhance the chances of the student enrolling at that college.
Value solution (Mention LLMs, Tools used): Techniques used : 
Logistic Regression, Random Forest, XG Boost.
Attributes : High LSAT Score, CGPA, Gender, Scholarship, Distance, Type Long, Ethnicity, Instate, UG_Instate
Reactive
/Proactive: Reactive
Impact: Forecasting student enrollment in college and predicting scholarship opportunities.
Accion team Contribution: This is helping us in a long term to find the type of test takers, improved assessments and new students enrolling - A great start and lot more to come.
Client Appreciation (if any): https://accionglobal-my.sharepoint.com/:p:/g/personal/shishir_shrivastava_accionlabs_com/IQAAH6prGXUsTLClWRub2Qj_ATo32LKO8shcKK7z-Zy9BeU?e=XOI9wX


Link to demo video of solution (if any): https://accionglobal-my.sharepoint.com/:v:/g/personal/shishir_shrivastava_accionlabs_com/IQA2zDgWH2UbToXOvqt7PqELAUc_W1nE4ucIH1bIdCdbxS8?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=lpGbjp"
LSAC,Nov-25,"Account : LSAC
Project name: LSAC
Month and year: Dec-24
Key contributors: Ganesh Nagarkoti, Saurabh Deotale,
Shishir
Category / GenAI: GenAI
Category Description: AI-Powered Web Accessibility Audits
Problem statement: Manual testing and rule-based tools catch visible issues, but only automated DOM-level auditing provides exhaustive, contextual analysis to uncover hidden, structural, and systemic accessibility problems at scale.
Value solution (Mention LLMs, Tools used): Accessibility automated report generation using :
Ollama, WCAG guidelines
Reactive
/Proactive: Proactive
Impact: * Reduces manual effort and human error?
* Detects hidden and structural accessibility issues?
* Flexible for local, CI/CD, and enterprise usage
Accion team Contribution: R&D done from Accessibility team for Accessibility Automation as a primary constraint
Client Appreciation (if any): https://accionglobal-my.sharepoint.com/:p:/g/personal/shishir_shrivastava_accionlabs_com/IQAXLP0GjDiGQb56onNsBNJbAflvABYTBRgd0osseKjP36k?e=PZjDSg
Link to demo video of solution (if any): https://accionglobal-my.sharepoint.com/:v:/g/personal/shishir_shrivastava_accionlabs_com/IQBZiucMhx0xSq_bH_EH8Mu_AZElvSU5y2s1nddVbsAfwd0?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=01zbQm"
LSAC,Nov-25,"Account : LSAC
Project name: LSAC
Month and year: Dec-24
Key contributors: Abhinav, Chandan Gowda, Shishir
Category / GenAI: GenAI
Category Description: Healthcare Agents

(Looks interesting, pls add more details on the agents, workflow details)
Problem statement: End-to-End Healthcare solution agents
Value solution (Mention LLMs, Tools used): Microsoft Copilot studio, Google Copilot studio
Reactive
/Proactive: Proactive
Impact: * Reduces manual efforts on operations
Accion team Contribution: * Understood the problems/usecases on helathcare
* Intelligent, AI-Driven assistants which can automate workflows, provide real-time support to patients and staff and enable haelthcare team to focus on quality care rather than operations.
Client Appreciation (if any): https://accionglobal-my.sharepoint.com/:p:/g/personal/shishir_shrivastava_accionlabs_com/IQAJMLXKnKkfRYTDPf5vF0J_AUJw_0MQaRj0EYzg0WIwfl0?e=sFja5g
Link to demo video of solution (if any): https://accionglobal-my.sharepoint.com/:v:/g/personal/shishir_shrivastava_accionlabs_com/IQBNmHzr0OtoTJaH9VqCS_oyAbntjZAMPbdGuf6J6eUOHu8?nav=eyJyZWZlcnJhbEluZm8iOnsicmVmZXJyYWxBcHAiOiJPbmVEcml2ZUZvckJ1c2luZXNzIiwicmVmZXJyYWxBcHBQbGF0Zm9ybSI6IldlYiIsInJlZmVycmFsTW9kZSI6InZpZXciLCJyZWZlcnJhbFZpZXciOiJNeUZpbGVzTGlua0NvcHkifX0&e=JHuOHO"
LSAC,Nov-25,"Account : LSAC
Project name: LSAC
Month and year: Dec-24
Key contributors: Phurkan Ali
Category / GenAI: GenAI
Category Description: Program Agents
Problem statement: Program Agents which can :
* Automate the meetings
* Keep the repository updated with session recordings, transcripts, Attendance etc
* Throw all the bots out of meeting and remove their attendances.
* Removing manual processes of any SM
Value solution (Mention LLMs, Tools used): Ollama/Gemini
Reactive
/Proactive: Proactive
Impact: Reduces management efforst in doing manual works.
Accion team Contribution: Created bots to fix the problems"
LSAC,Nov-25,"Account : LSAC
Project name: LSAC
Month and year: Dec-24
Key contributors: Pavan Kumarh
Category / GenAI: AI
Category Description: SRE Agent
Problem statement: Limited real-time visibility into LSAT Production health for Multiple Choice (MC) and Written Test (WS) exam user flows.
Value solution (Mention LLMs, Tools used): Implemented synthetic automation for MC & WS flows; JSON results stored as tables in Azure Log Analytics Workspace, queried via KQL, and integrated into Grafana dashboards. Tools: Selenium, Azure Log Analytics Workspace, KQL, Grafana.
Reactive
/Proactive: Proactive
Impact: Faster issue detection, reduced MTTR, and improved production reliability.
Accion team Contribution: Built synthetic scripts, enabled JSON-to-table ingestion in Azure Log Analytics Workspace, and integrated dashboards in Grafana.
Client Appreciation (if any): Client appreciated improved observability and proactive monitoring."
LSAC,Nov-25,"Account : LSAC
Project name: LSAC
Month and year: Dec-24
Key contributors: Aditya Mukkawar
Category / GenAI: AI
Category Description: Report generation
Problem statement: The report generation API was fetching all school records and calculating job scores at runtime, resulting in very high Cosmos DB RU consumption and slow response times. This API is used in ~80% of user interactions, directly impacting user experience.
Value solution (Mention LLMs, Tools used): Redesigned the flow to pre-calculate job scores for all schools during onboarding and store them in Cosmos DB. Introduced a new getUserJobScores query to fetch precomputed data instead of recalculating at runtime. Maintained a school version in the job score document to trigger recalculation when school data changes.
Tools: Azure Cosmos DB, .NET APIs, Application Insights for RU and performance analysis.
Reactive
/Proactive:  Reactive
Impact: RU consumption reduced, PI response time improved by approximately 11x, Significant performance improvement for an API handling ~80% of LST user traffic
Accion team Contribution: Performed analysis to identify high RU usage, implemented the required changes, and validated the performance improvements using telemetry and logs."
